0-1-2-3-4-5-6-7-8-9-11-12-13-14-15-16-19-17-18-20-10-32-29-30-31-35-36-34-37-38-148-45-41-42-48-40-49-126-54-51-200-53-57-55-170-58-59-60-61-62-63-65-184-67-68-69-70-71-72-73-74-75-76-77-86-90-79-78-80-81-82-83-84-85-87-89-88-91-92-94-93-95-124-108-109-119-285-64-99-118-123-101-261-121-143-114-272-112-230-240-239-102-265-113-106-241-110-107-281-136-141-145-287-249-132-204-103-138-266-273-115-171-212-159-253-167-172-173-129-234-214-149-26-205-189-235-262-221-96-242-25-142-259-228-21-203-196-168-191-131-278-202-134-270-162-233-178-181-211-158-128-276-254-244-39-122-277-104-116-197-193-127-150-164-22-166-120-245-238-50-247-161-98-283-222-151-157-175-268-179-117-192-263-154-269-264-194-140-185-208-147-271-165-190-236-224-248-152-206-97-188-252-133-137-153-56-216-163-52-160-260-220-282-255-218-100-250-280-187-174-201-144-229-139-275-169-243-146-215-198-210-279-231-176-111-177-217-284-274-156-199-130-180-155-135-186-23-182-183-209-66-258-257-227-286-256-105-195-27-223-246-251-219-267-207-225-232-237-24-226-213-125-47-46-44-43-33-28-,63680.87099554234,20,91
14.55,-23.31
28.060000000000002,-15.24
32.38,-16.54
31.380000000000003,-8.0
33.39,-7.35
34.02,-6.51
34.05,-4.57
35.48,-5.45
35.43000000000001,-0.43
36.470000000000006,3.03
36.22,6.37
36.48,10.11
34.440000000000005,10.46
32.54,13.110000000000001
32.07,20.04
31.120000000000005,29.54
30.03,31.149999999999995
31.160000000000004,32.18
29.58,32.33
24.05,32.53
22.56,5.300000000000001
16.46,-3.0100000000000002
14.4,-17.26
13.28,-16.39
11.51,-15.35
9.31,-13.43
8.3,-13.15
10.230000000000002,-9.18
6.18,-10.47
5.19,-4.02
12.000000000000002,8.3
6.08,1.13
6.29,2.37
6.27,3.24
5.33,-0.13
6.27,7.27
0.23,9.27
3.45,8.47
4.22,18.35
0.04,18.16
-4.16,15.170000000000002
-5.540000000000001,22.25
0.3,25.12
-3.23,29.220000000000002
-1.57,30.040000000000003
0.19,32.25
-1.17,36.49
-4.03,39.4
-6.48,39.17
-8.48,13.14
-12.44,15.47
-11.4,27.28
-12.49,28.13
-15.25,28.17
-20.09,28.36
-17.5,31.030000000000005
-15.47,35.0
-19.49,34.52
-25.58,32.35
-29.12,26.07
-33.55,18.22
-37.15,-12.3
-15.570000000000002,-5.42
-22.59,14.31
-22.34,17.06
-26.38,15.1
-24.45,25.55
-25.45,28.1
-26.15,28.0
-29.55,30.560000000000002
-33.58,25.4
-33.0,27.55
-23.21,43.4
-18.55,47.31
-20.1,57.3
-12.16,49.17
-4.38,55.27
2.01,45.20000000000001
9.0,38.5
15.2,38.53
19.37,37.14
6.41,-1.35
15.36,32.32
0.2,6.44
-4.18,15.18
3.52,11.31
13.110000000000001,30.130000000000003
-6.1,39.11
11.36,43.09
13.38,25.21
12.07,15.03
11.51,13.1
13.31,2.07
12.220000000000002,-1.31
12.39,-8.0
18.06,-15.570000000000002
