32-1-2-3-4-5-7-6-8-9-20-12-13-14-15-16-19-17-18-11-10-28-0-29-30-31-33-34-35-36-37-38-170-40-41-42-48-49-51-50-54-52-53-57-56-55-99-69-58-59-60-61-125-63-65-66-67-70-71-72-73-74-75-76-90-79-78-80-82-81-83-172-85-168-89-88-87-178-169-77-91-92-94-93-95-151-97-113-171-180-115-181-119-106-156-140-110-108-122-104-128-68-84-183-150-166-133-185-142-167-123-165-103-161-154-64-160-191-138-149-174-26-98-27-187-153-134-147-114-86-155-136-131-189-152-173-105-126-182-175-120-116-190-159-141-179-124-188-129-96-143-157-137-101-39-162-144-100-107-184-21-145-112-118-62-121-186-132-135-177-139-163-111-25-127-109-130-158-176-22-164-117-148-102-23-24-146-47-46-45-44-43-,60053.128792274176,1,94
16.46,-3.0100000000000002
28.060000000000002,-15.24
32.38,-16.54
31.380000000000003,-8.0
33.39,-7.35
34.02,-6.51
35.48,-5.45
34.05,-4.57
35.43000000000001,-0.43
36.470000000000006,3.03
24.05,32.53
36.48,10.11
34.440000000000005,10.46
32.54,13.110000000000001
32.07,20.04
31.120000000000005,29.54
30.03,31.149999999999995
31.160000000000004,32.18
29.58,32.33
36.22,6.37
22.56,5.300000000000001
18.06,-15.570000000000002
14.55,-23.31
14.4,-17.26
13.28,-16.39
11.51,-15.35
12.39,-8.0
10.230000000000002,-9.18
9.31,-13.43
8.3,-13.15
6.18,-10.47
5.19,-4.02
5.33,-0.13
6.08,1.13
6.29,2.37
6.27,3.24
6.27,7.27
3.45,8.47
0.2,6.44
0.23,9.27
3.52,11.31
4.22,18.35
0.04,18.16
-4.18,15.18
-4.16,15.170000000000002
-12.44,15.47
-5.540000000000001,22.25
0.3,25.12
-3.23,29.220000000000002
-1.57,30.040000000000003
-1.17,36.49
-4.03,39.4
-6.1,39.11
-6.48,39.17
-11.4,27.28
-12.49,28.13
-15.25,28.17
-20.09,28.36
-17.5,31.030000000000005
-15.47,35.0
-19.49,34.52
-33.55,18.22
-37.15,-12.3
-15.570000000000002,-5.42
-22.59,14.31
-26.38,15.1
-22.34,17.06
-24.45,25.55
-26.15,28.0
-33.58,25.4
-33.0,27.55
-29.55,30.560000000000002
-25.58,32.35
-23.21,43.4
-18.55,47.31
-20.1,57.3
-12.16,49.17
-4.38,55.27
-8.48,13.14
-25.45,28.1
2.01,45.20000000000001
9.0,38.5
11.36,43.09
-29.12,26.07
6.41,-1.35
19.37,37.14
0.19,32.25
15.2,38.53
15.36,32.32
13.110000000000001,30.130000000000003
13.38,25.21
12.07,15.03
11.51,13.1
12.000000000000002,8.3
13.31,2.07
12.220000000000002,-1.31
